gvkey,cik,quarter
157855,0001108524,2020Q2
014225,0000815556,2020Q2
005492,0000202058,2020Q2
014359,0001038357,2020Q2
014282,0000820313,2020Q2
004108,0000030625,2020Q2
149337,0001120193,2020Q2
011550,0000783325,2020Q2
013353,0000107815,2020Q2
009777,0000091419,2020Q2
016245,0001378946,2020Q2
013700,0000818479,2020Q2
149318,0001174922,2020Q2
112168,0001060391,2020Q2
028477,0000354908,2020Q2
062374,0001020569,2020Q2
005543,0000766704,2020Q2
110179,0000740260,2020Q2
005709,0000048465,2020Q2
007970,0000072741,2020Q2
028180,0000898173,2020Q2
066446,0001050915,2020Q2
011399,0000106040,2020Q2
004510,0000037785,2020Q2
119314,0001075531,2020Q2
179534,0001403161,2020Q2
009248,0000745732,2020Q2
024925,0000882835,2020Q2
135990,0001013871,2020Q2
002176,0001067983,2020Q2
164296,0001437107,2020Q2
008151,0001039684,2020Q2
012850,0000804753,2020Q2
064410,0001170010,2020Q2
028034,0000896159,2020Q2
006268,0000833444,2020Q2
005959,0001466258,2020Q2
147579,0001065280,2020Q2
121077,0001048695,2020Q2
133366,0001099800,2020Q2
124434,0002012383,2020Q2
165914,0001058090,2020Q2
029984,0001045609,2020Q2
186989,0001510295,2020Q2
143357,0001467373,2020Q2
162129,0001285785,2020Q2
177267,0001385157,2020Q2
189491,0001524472,2020Q2
028742,0000908255,2020Q2
024782,0001585364,2020Q2
031587,0000935703,2020Q2
113490,0001051470,2020Q2
170841,0001534701,2020Q2
006310,0001506307,2020Q2
062263,0000899866,2020Q2
006565,0000707549,2020Q2
024316,0000865752,2020Q2
150937,0001137789,2020Q2
294524,0001489393,2020Q2
008463,0000077360,2020Q2
004016,0000029534,2020Q2
141459,0001121788,2020Q2
118122,0001521332,2020Q2
016101,0001551152,2020Q2
008551,0000078239,2020Q2
023812,0000872589,2020Q2
006335,0000054480,2020Q2
005073,0001467858,2020Q2
013721,0001555280,2020Q2
018043,0001564708,2020Q2
100873,0001492633,2020Q2
003851,0000027904,2020Q2
024344,0000875320,2020Q2
001598,0001037868,2020Q2
316056,0001579241,2020Q2
170617,0001326801,2020Q2
025119,0000851968,2020Q2
029736,0000916365,2020Q2
030293,0000920522,2020Q2
165052,0001336917,2020Q2
180711,0001730168,2020Q2
029733,0000916076,2020Q2
011032,0000352915,2020Q2
066065,0001067701,2020Q2
028191,0000884887,2020Q2
022260,0000860730,2020Q2
001327,0000004127,2020Q2
061494,0001000228,2020Q2
001045,0000006201,2020Q2
138743,0001101239,2020Q2
175319,0001359841,2020Q2
065290,0001040971,2020Q2
030822,0000726728,2020Q2
064853,0001604778,2020Q2
005783,0000728535,2020Q2
005568,0001637459,2020Q2
145977,0001158449,2020Q2
024616,0001633917,2020Q2
180405,0000718877,2020Q2
010795,0000100517,2020Q2
180652,0001442145,2020Q2
026156,0001645590,2020Q2
020686,0001601712,2020Q2
138205,0001110803,2020Q2
003026,0000313927,2020Q2
144009,0001140536,2020Q2
160479,0001289490,2020Q2
004605,0000034903,2020Q2
021825,0000759944,2020Q2
177884,0001358071,2020Q2
179437,0001410636,2020Q2
010894,0000074208,2020Q2
020904,0000859737,2020Q2
145552,0001071739,2020Q2
178704,0001403568,2020Q2
141913,0001123360,2020Q2
001230,0000766421,2020Q2
160991,0001297996,2020Q2
155394,0001065696,2020Q2
004973,0000354190,2020Q2
148349,0001260221,2020Q2
188255,0001519751,2020Q2
029751,0000915913,2020Q2
011554,0000352541,2020Q2
026590,0001659166,2020Q2
065772,0001037646,2020Q2
126136,0001091667,2020Q2
003504,0000711404,2020Q2
012151,0001024305,2020Q2
029649,0000912595,2020Q2
024197,0000874716,2020Q2
030923,0001681459,2020Q2
029127,0000879169,2020Q2
184500,0001374310,2020Q2
029099,0000910606,2020Q2
060900,0001001082,2020Q2
024975,0000883241,2020Q2
008898,0000720005,2020Q2
064821,0001035443,2020Q2
001161,0000002488,2020Q2
003336,0001688568,2020Q2
012441,0000749251,2020Q2
