file,avg_tfidf_finneg,avg_tfidf_h4n,doc_length,filing_date,cik,conml,gvkey,permno,excess_return_3d
20200207_10-K_edgar_data_354190_0001193125-20-028191_1.txt,1.4076732412888452e-07,3.5678155170795385e-07,4410649,2020-02-07,354190,Arthur J. Gallagher & Co.,004973,38093.0,0.019049279685944276
20200207_10-K_edgar_data_872589_0001532176-20-000008_1.txt,4.86327760763662e-07,3.7548860280134737e-07,2180267,2020-02-07,872589,Regeneron Pharmaceuticals Inc,023812,76614.0,0.012732077606135261
20200207_10-K_edgar_data_936468_0000936468-20-000016_1.txt,2.241020592436491e-07,1.460922566394731e-07,2830138,2020-02-07,936468,Lockheed Martin Corp,006774,21178.0,-0.019978975684766587
20200207_10-Q_edgar_data_1564708_0001193125-20-027351_1.txt,3.376035263965328e-07,7.227576527930631e-07,4011327,2020-02-07,1564708,News Corp,018043,13963.0,-0.015088415466772198
20200207_10-Q_edgar_data_1688568_0001688568-20-000008_1.txt,2.2404294835640207e-07,1.309332102410631e-07,2677764,2020-02-07,1688568,DXC Technology Co,003336,40125.0,-0.1254695242521543
20200207_10-Q_edgar_data_720005_0000720005-20-000013_1.txt,8.424649991801115e-08,7.54011174162046e-08,3728298,2020-02-07,720005,Raymond James Financial Inc.,008898,69649.0,0.03582509004345624
20200207_10-Q_edgar_data_779152_0000779152-20-000011_1.txt,5.4485124484307976e-08,1.077436158868906e-07,1022435,2020-02-07,779152,Henry (Jack) & Associates Inc,011811,88664.0,0.018677041422841434
20200207_10-Q_edgar_data_849399_0000849399-20-000002_1.txt,2.3589547316444642e-07,1.4543642042831152e-07,1871495,2020-02-07,849399,Gen Digital Inc,015855,75607.0,0.16862404385125385
20200207_10-Q_edgar_data_946581_0001628280-20-001155_1.txt,7.890595265422014e-08,9.223684399334677e-08,1253431,2020-02-07,946581,Take-Two Interactive Software Inc,064630,84761.0,-0.131826360421204
20200210_10-K_edgar_data_1031296_0001031296-20-000008_1.txt,1.9399425276922405e-07,2.150548374855221e-07,4334833,2020-02-10,1031296,FirstEnergy Corp.,008099,23026.0,0.00196901419619544
20200210_10-K_edgar_data_34903_0000034903-20-000008_1.txt,1.482243655726191e-07,1.154172168212377e-07,2838295,2020-02-10,34903,Federal Realty Investment Trust,004605,58413.0,-0.02372336699220723
20200210_10-K_edgar_data_40533_0000040533-20-000015_1.txt,8.475275269230207e-08,7.84102122647096e-08,3503716,2020-02-10,40533,General Dynamics Corp,005046,12052.0,-0.01048341770698702
20200210_10-K_edgar_data_64040_0000064040-20-000055_1.txt,1.635240993964007e-07,1.344602344101419e-07,4456440,2020-02-10,64040,S&P Global Inc,007163,17478.0,0.023634967008326013
20200210_10-K_edgar_data_804753_0000804753-20-000007_1.txt,2.792685156409735e-07,1.6173339962539005e-07,2356120,2020-02-10,804753,Cerner Corp,012850,10909.0,-0.041118242310612785
20200210_10-Q_edgar_data_1757898_0001757898-20-000003_1.txt,1.569429345852977e-07,9.987891619803433e-08,1482830,2020-02-10,1757898,Steris Plc,025313,77649.0,0.08475731431359401
20200211_10-K_edgar_data_1045609_0001564590-20-004096_1.txt,5.6317606863480284e-08,5.9295189377064743e-08,6542309,2020-02-11,1045609,Prologis Inc,029984,85592.0,0.0198061749871008
20200211_10-K_edgar_data_106640_0000106640-20-000017_1.txt,6.479457259393155e-08,5.950335601632521e-08,8734515,2020-02-11,106640,Whirlpool Corp,011465,25419.0,0.00768189726155688
20200211_10-K_edgar_data_1109357_0001109357-20-000053_1.txt,8.857707327081627e-08,8.818041832592314e-08,15663024,2020-02-11,1109357,Exelon Corp,008539,21776.0,0.019290949866079155
20200211_10-K_edgar_data_1110803_0001110803-20-000018_1.txt,1.2923901960334046e-07,1.1908582007408964e-07,2760170,2020-02-11,1110803,Illumina Inc,138205,88446.0,0.004595719686048216
20200211_10-K_edgar_data_1359841_0001359841-20-000027_1.txt,1.7506660084218497e-07,1.271963104805325e-07,4238530,2020-02-11,1359841,Hanesbrands Inc,175319,91416.0,0.02959217782276702
20200211_10-K_edgar_data_1585689_0001585689-20-000013_1.txt,7.867741720876216e-08,7.635970893296742e-08,6492323,2020-02-11,1585689,Hilton Worldwide Holdings Inc,005643,14338.0,0.005976610646088343
20200211_10-K_edgar_data_26172_0000026172-20-000009_1.txt,1.3615567070966597e-07,1.090511504532251e-07,4160296,2020-02-11,26172,Cummins Inc.,003650,41080.0,0.01732243541382439
20200211_10-K_edgar_data_28412_0000028412-20-000034_1.txt,2.067480250571023e-07,9.990959204665808e-08,5571708,2020-02-11,28412,Comerica Incorporated,003231,25081.0,0.012592082261601467
20200211_10-K_edgar_data_29989_0000029989-20-000005_1.txt,1.0740987805198765e-07,8.28251494789191e-08,2261092,2020-02-11,29989,Omnicom Group Inc,004066,30681.0,0.0040805757891362315
20200211_10-K_edgar_data_45012_0000045012-20-000031_1.txt,2.6842437215329337e-07,2.468844594668629e-07,1789044,2020-02-11,45012,Halliburton Co,005439,23819.0,0.022920495541365993
20200211_10-K_edgar_data_62996_0000062996-20-000006_1.txt,1.289525887951207e-07,1.1047942400170532e-07,2872732,2020-02-11,62996,Masco Corporation,007085,34032.0,-0.09209345308787509
20200211_10-Q_edgar_data_106040_0000106040-20-000011_1.txt,1.5672936046631933e-07,1.1206499474101683e-07,2363651,2020-02-11,106040,Western Digital Corp,011399,66384.0,0.007358618867663758
20200211_10-Q_edgar_data_1748790_0001748790-20-000010_1.txt,1.016669681558256e-07,1.1384321433645267e-07,1766549,2020-02-11,1748790,Amcor Plc,100243,18724.0,-0.06622847881471605
20200211_10-Q_edgar_data_203527_0000203527-20-000008_1.txt,1.0518857401458725e-07,1.1378023438169844e-07,1828511,2020-02-11,203527,Varian Medical Systems Inc,011115,27043.0,0.02246813231068323
