file,avg_tfidf_finneg,avg_tfidf_h4n,doc_length
20200218_10-K_edgar_data_1278021_0001564590-20-004935_1.txt,1.45226291377054e-07,1.1240849109639041e-07,3242226
20200218_10-K_edgar_data_1336920_0001336920-20-000023_1.txt,2.1944686107960492e-07,1.306629145238764e-07,2896948
20200218_10-K_edgar_data_1408198_0001564590-20-004992_1.txt,1.75646846637066e-07,1.5227402762076154e-07,3576256
20200218_10-K_edgar_data_1410636_0001410636-20-000040_1.txt,2.9316444063584045e-07,2.1139006210794263e-07,3450313
20200218_10-K_edgar_data_1442145_0001442145-20-000012_1.txt,1.7148029804277383e-07,1.35212379737177e-07,3210986
20200218_10-K_edgar_data_1466258_0001466258-20-000064_1.txt,1.0239958959140446e-07,7.309986039845525e-08,4448653
20200218_10-K_edgar_data_1478242_0001564590-20-004901_1.txt,1.2400279711501017e-07,1.054610013773189e-07,5050370
20200218_10-K_edgar_data_1578845_0001564590-20-005038_1.txt,1.410050723451332e-07,1.2260544309053511e-07,11684369
20200218_10-K_edgar_data_1579241_0001579241-20-000013_1.txt,1.3862439869656342e-07,1.1015887036405669e-07,4184234
20200218_10-K_edgar_data_200406_0000200406-20-000010_1.txt,3.2409441371944475e-07,1.8542895773964443e-07,4488785
20200218_10-K_edgar_data_24741_0000024741-20-000014_1.txt,4.027349170892843e-08,5.732870972574457e-08,8261860
20200218_10-K_edgar_data_30625_0000030625-20-000007_1.txt,1.3020719533213442e-07,1.2956473982216442e-07,3252899
20200218_10-K_edgar_data_313927_0001564590-20-004956_1.txt,1.5006261039268834e-07,1.2273421476373028e-07,3396885
20200218_10-K_edgar_data_5513_0000005513-20-000027_1.txt,1.940112116398483e-07,1.3223912373147454e-07,6415464
20200218_10-K_edgar_data_64803_0000064803-20-000007_1.txt,3.484617721899587e-07,2.1488728186531432e-07,4454948
20200218_10-K_edgar_data_7084_0000007084-20-000009_1.txt,1.401296000663406e-07,1.4420992497961338e-07,3533997
20200218_10-K_edgar_data_74208_0000074208-20-000031_1.txt,8.090124065287354e-08,6.76499819171947e-08,8156027
20200218_10-K_edgar_data_899689_0000899689-20-000007_1.txt,1.2089824662164708e-07,1.0473100822920022e-07,4889945
